,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"eta_inducing[21, 0]",0.208,0.97,-1.616,2.041,0.017,0.026,3155.476,1200.013,1.003
"eta_inducing[21, 1]",-0.144,0.967,-1.921,1.722,0.016,0.025,3883.528,1470.76,1.005
"eta_inducing[22, 0]",0.129,0.945,-1.673,1.867,0.018,0.023,2774.772,1417.326,1.001
"eta_inducing[22, 1]",-0.113,0.999,-1.885,1.909,0.016,0.027,3678.094,1299.269,1.0
"eta_inducing[23, 0]",0.047,0.974,-1.905,1.782,0.016,0.025,3734.404,1253.397,1.003
"eta_inducing[23, 1]",-0.125,0.955,-1.974,1.576,0.014,0.026,4538.445,1310.526,1.001
"eta_inducing[24, 0]",-0.026,0.955,-1.911,1.697,0.017,0.027,3180.453,1161.201,1.003
"eta_inducing[24, 1]",-0.09,0.954,-1.764,1.679,0.015,0.023,4218.502,1421.74,1.004
"eta_inducing[25, 0]",-0.101,0.961,-1.988,1.64,0.018,0.027,2955.664,1320.086,1.002
"eta_inducing[25, 1]",-0.069,0.983,-1.788,1.774,0.016,0.027,3549.487,1114.345,1.006
"eta_inducing[26, 0]",-0.123,1.005,-2.155,1.672,0.016,0.027,3821.967,1499.655,1.0
"eta_inducing[26, 1]",-0.099,0.991,-1.817,1.931,0.016,0.029,3771.572,865.898,1.001
"eta_inducing[27, 0]",-0.187,0.935,-1.911,1.566,0.016,0.023,3228.569,1479.238,1.003
"eta_inducing[27, 1]",-0.104,1.006,-2.019,1.818,0.016,0.027,4057.013,1035.172,1.004
"eta_inducing[28, 0]",-0.183,0.978,-1.948,1.714,0.016,0.025,3583.067,1378.653,1.003
"eta_inducing[28, 1]",-0.09,0.996,-1.825,1.954,0.016,0.026,3760.561,1317.692,1.0
"eta_inducing[29, 0]",-0.146,0.972,-1.969,1.575,0.016,0.026,3877.397,1290.549,1.001
"eta_inducing[29, 1]",-0.062,0.964,-1.869,1.748,0.016,0.025,3497.683,1270.882,1.005
"eta_inducing[30, 0]",-0.102,0.958,-1.941,1.544,0.014,0.026,4914.405,1595.251,1.005
"eta_inducing[30, 1]",-0.105,1.012,-2.126,1.668,0.018,0.031,3064.445,1091.182,1.003
"eta_inducing[31, 0]",-0.034,0.91,-1.742,1.68,0.015,0.024,3571.668,1363.367,1.01
"eta_inducing[31, 1]",-0.088,1.038,-1.958,1.905,0.017,0.029,3779.317,1151.336,1.004
"eta_inducing[32, 0]",0.034,0.913,-1.557,1.847,0.015,0.028,3722.181,1155.839,1.003
"eta_inducing[32, 1]",-0.083,0.978,-1.882,1.795,0.014,0.025,4652.396,1192.802,1.005
"eta_inducing[33, 0]",0.129,0.944,-1.482,1.925,0.016,0.025,3303.036,1411.668,1.007
"eta_inducing[33, 1]",-0.058,1.006,-1.902,1.882,0.016,0.027,3903.841,1397.72,1.002
"eta_inducing[34, 0]",0.235,0.945,-1.423,2.056,0.015,0.024,3773.8,1258.343,1.002
"eta_inducing[34, 1]",-0.064,0.957,-1.836,1.769,0.015,0.025,4229.139,1246.796,1.0
"eta_inducing[35, 0]",0.288,0.966,-1.485,2.121,0.014,0.022,4515.409,1622.306,1.003
"eta_inducing[35, 1]",-0.041,0.986,-1.884,1.823,0.016,0.026,3891.518,1400.327,1.007
"eta_inducing[36, 0]",0.359,0.979,-1.481,2.202,0.018,0.032,3023.689,1144.842,1.001
"eta_inducing[36, 1]",-0.062,0.983,-1.981,1.726,0.015,0.026,4361.526,1103.763,1.007
"eta_inducing[37, 0]",0.363,0.948,-1.482,2.151,0.015,0.028,3753.078,836.149,1.006
"eta_inducing[37, 1]",-0.04,1.016,-1.867,1.906,0.016,0.028,4279.73,1184.914,1.003
"eta_inducing[38, 0]",0.371,0.97,-1.343,2.265,0.015,0.029,3804.858,1262.607,1.002
"eta_inducing[38, 1]",0.005,0.992,-1.894,1.792,0.017,0.035,3516.076,1128.047,1.009
"eta_inducing[39, 0]",0.352,0.955,-1.519,2.127,0.016,0.024,3510.97,1282.434,1.003
"eta_inducing[39, 1]",-0.048,1.0,-1.837,1.876,0.017,0.025,3551.11,1378.252,1.0
"eta_inducing[40, 0]",0.316,0.967,-1.462,2.145,0.017,0.03,3168.941,1205.454,1.004
"eta_inducing[40, 1]",0.005,0.988,-1.722,1.914,0.015,0.031,4426.121,1326.886,1.003
